title,link,company,location
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80156289?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Завод СпецТехники,Нижний Новгород
Рабочий/Слесарь по очистке технологического оборудования,https://aktau.hh.kz/vacancy/79519003?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РК,Нижнекамск
Слесарь - Сборщик МК,https://aktau.hh.kz/vacancy/79619008?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО К-Метпром,Челябинск
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79176538?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Атомнефтегаздеталь,Москва
Слесарь МСР,https://aktau.hh.kz/vacancy/80152279?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ГК МРК,Смоленск
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80160604?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Завод Нефтегазоборудование,Ульяновск
Слесарь-сборщик,https://aktau.hh.kz/vacancy/78196030?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Гарвекс,Санкт-Петербург
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80160603?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Завод Нефтегазоборудование,Пенза
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80162753?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,"Радуга, ПКГ",Санкт-Петербург
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80162975?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Аневарс,Минск
Слесарь-ремонтник насосного оборудования,https://aktau.hh.kz/vacancy/79798468?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Галактика,Санкт-Петербург
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79215109?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РЕМЗАВОД,Санкт-Петербург
Слесарь аварийно-восстановительных работ,https://aktau.hh.kz/vacancy/79927410?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ИнтерЛайн Инжиниринг,"Санкт-Петербург, Лиговский проспект"
Слесарь-сантехник,https://aktau.hh.kz/vacancy/79909252?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Jobers,Москва
Слесарь по ремонту агрегатов БЕЛАЗ,https://aktau.hh.kz/vacancy/76564401?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Белтранслогистик,Норильск
