title,link,company,location 
Слесарь по ремонту ДСМ,https://adsrv.hh.ru/click?b=401562&c=30&meta=JUWk3fwWGox12cCcEPqbn_6L5WYcyp5K7nN26e-1hMB-VGDOA9T-1YoMCgIFi8Bm5bhayVHR_CeSUKPRKjpYuIY3BJUPgQBip8hM7AX4GvizI3tmtsSDCnh52pWCd3ME9IpAXzASYKJMiHLAw3EJrOvPkUnShb4kpqi8hrPjBGsow6A3gBFAPwFnjUix_wIr1tFO_9O-rnHSyqUoShn00w%3D%3D&place=36&clickType=link_to_vacancy,АО Группа Илим,Усть-Илимск
Слесарь/Рабочий на производство,https://aktau.hh.kz/vacancy/79719139?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Свет-Н,Нижний Новгород
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79292774?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ESTIMA,Ногинск
Слесарь,https://aktau.hh.kz/vacancy/79759637?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Уральский турбомеханик,"Екатеринбург, Машиностроителей"
Слесарь МСР,https://aktau.hh.kz/vacancy/80148939?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Империя кадров,Бор
Слесарь,https://aktau.hh.kz/vacancy/80090856?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,"Бусцентр24, ЧП",Минск
Слесарь МСР,https://aktau.hh.kz/vacancy/80059481?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Автомашприбор,Минск
Слесарь по ремонту оборудования,https://aktau.hh.kz/vacancy/79772248?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,UPM-Kymmene,Чудово
Слесарь-Сборщик алюминиевых лодок,https://aktau.hh.kz/vacancy/80183947?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Albakore,"Санкт-Петербург, Парнас"
Слесарь МСР,https://aktau.hh.kz/vacancy/79732697?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Интех,Уфа
Слесарь ТО ВДГО,https://aktau.hh.kz/vacancy/79716321?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Мособлгазсервис,Дубна
Слесарь,https://aktau.hh.kz/vacancy/80181072?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО БРЗ,Волжский (Волгоградская область)
Слесарь-ремонтник / Слесарь-механик,https://aktau.hh.kz/vacancy/79111584?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Орис Пром,"Москва, Ховрино"
"Слесарь, монтажник ГПМ",https://aktau.hh.kz/vacancy/79161215?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Лифтов,Санкт-Петербург
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79324306?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Завод Карданных Валов,Нижний Новгород
Слесарь МСР,https://aktau.hh.kz/vacancy/80170516?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО АгроСтройСервис,Ижевск
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80156019?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Керамикстрой,Омск
Слесарь КИПиА,https://aktau.hh.kz/vacancy/79803008?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Уфимское наладочное управление АО Нефтеавтоматика,Ижевск
Слесарь МСР на зачистку,https://aktau.hh.kz/vacancy/78776640?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО БКР,Чебоксары
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79380079?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ЛИДЕР,Москва
Слесарь по обслуживанию и ремонту трамваев,https://aktau.hh.kz/vacancy/80001018?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ЭЛЕКТРОТРАНССЕРВИС,"Москва, ВДНХ"
Наладчик-слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79335561?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Чистая линия,Долгопрудный
Слесарь-ремонтник НПО,https://aktau.hh.kz/vacancy/74308005?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РН-Ремонт НПО,Омск
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79764833?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ESTIMA,Тамбов
Слесарь-электрик,https://aktau.hh.kz/vacancy/80060796?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Нафта-М-Юг,Краснодар
Слесарь МСР,https://aktau.hh.kz/vacancy/80152709?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ПромСтройКомплект,Челябинск
Слесарь по ремонту и обслуживанию систем ОВиК,https://aktau.hh.kz/vacancy/79928550?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО СПМ-ПРОЕКТ,Санкт-Петербург
Слесарь-сборщик электротранспорта,https://aktau.hh.kz/vacancy/80051993?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Green Camel,"Москва, Владыкино и еще 1 "
Слесарь-ремонтник (насосное оборудование),https://aktau.hh.kz/vacancy/80144310?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,АО Астор,"Санкт-Петербург, Девяткино"
Слесарь-сварщик,https://aktau.hh.kz/vacancy/79884972?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ПЛАСТ-Т,Челябинск
Слесарь-сборщик металлоконструкции,https://aktau.hh.kz/vacancy/80187134?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Steelloft,Москва
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/78116615?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ЗАО Проектстрой,Великий Новгород
Слесарь-сборщик / слесарь-котельщик,https://aktau.hh.kz/vacancy/80085296?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Механические системы,Пенза
Слесарь-сантехник,https://aktau.hh.kz/vacancy/79672970?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РСУ-55,Воронеж
Слесарь-сборщик (мелкая сборка),https://aktau.hh.kz/vacancy/80105193?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Zart,Зеленоград
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80110552?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РУСПРОМТЕХСНАБ,Челябинск
Слесарь по обслуживанию газового оборудования,https://aktau.hh.kz/vacancy/80025205?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ГАЗ Эксплуатация,Санкт-Петербург
Слесарь (очистка оборудования),https://aktau.hh.kz/vacancy/80013917?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Профессиональные сервисные решения,Липецк
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79207989?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Пятый Клуб,Ярославль
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79741188?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ОСНОВА,Воронеж
Слесарь-сварщик,https://aktau.hh.kz/vacancy/79723766?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Запсибэлектромонтаж,Барнаул
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80101833?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Листон,Обнинск
Слесарь-ремонтник НПО,https://aktau.hh.kz/vacancy/74308001?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РН-Ремонт НПО,Красноярск
Слесарь - сборщик металлоконструкций,https://aktau.hh.kz/vacancy/79164129?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Дизфор,"Новосибирск, Площадь Маркса"
Слесарь-ремонтник НПО,https://aktau.hh.kz/vacancy/76473764?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РН-Ремонт НПО,Иркутск
Слесарь по сборке металлоконструкций,https://aktau.hh.kz/vacancy/77732455?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ОАО Автогидроподъемник,Санкт-Петербург
Слесарь-сантехник электрик,https://aktau.hh.kz/vacancy/79859686?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Аква Капитал,Казань
Слесарь-ремонтник 4 разряда,https://aktau.hh.kz/vacancy/80144971?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Группа ВИС,Новосибирск
Слесарь-сборщик,https://aktau.hh.kz/vacancy/80139969?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Максметалл,Санкт-Петербург
Слесарь-сборщик на производство,https://aktau.hh.kz/vacancy/79580576?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РЭД-инжиниринг,Челябинск
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80168049?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Типография Аврора,Ростов-на-Дону
Слесарь МОП,https://adsrv.hh.ru/click?b=396735&c=30&meta=Ml48JQ1PL7ZsVcvm7bnUtCWkAfbNM6RbW8XFoECTgW2qNZLddImKMqXqXGSMCi79cM7i7iY_liSOvMwA3Sgf47jtRt8rCoafW0faX4Wwldj6FLD_MBjiKj9p7GYYG6_1mw45aPC9M-lIVq0rMDq061hz0JnfGnMt0F-PEUNuN81QsZE1Qihvi5rE46nhHl4HaQauSxmdzQPl8DKu5angew%3D%3D&place=35&clickType=link_to_vacancy,ООО ИТеК ББМВ,Челябинск
Слесарь-сборщик водоразборного оборудования,https://adsrv.hh.ru/click?b=401896&c=5&meta=HnjTVH1Pt555nRQORJ3Zl-9GAKGuHKo5KHI_-46LPqqdC4y_VfMndvkq2aMPPc7_QxWK3EO6dvmcc1IFwCLhbMW9BuM80ySdy2-ks_zAR9QdTojZVSWUGXFgDgkiD4o-DO-0zVgCzziRSa-CVuwV1z6vY9mgEMV1uBEECK-3LmO2bc6c8AHSCX5LckyyuyxZ31Tss9tKSnVVuQ7B9oL5aQ%3D%3D&place=36&clickType=link_to_vacancy,ООО Компания Вокс-21 век,Подольск (Московская область)
Слесарь-ремонтник 4 разряда,https://aktau.hh.kz/vacancy/80144971?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Группа ВИС,Новосибирск
Слесарь-сборщик,https://aktau.hh.kz/vacancy/80139969?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Максметалл,Санкт-Петербург
Слесарь-сборщик на производство,https://aktau.hh.kz/vacancy/79580576?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РЭД-инжиниринг,Челябинск
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80168049?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Типография Аврора,Ростов-на-Дону
Слесарь на производство,https://aktau.hh.kz/vacancy/77191729?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ДИОКСИД,"Екатеринбург, Ботаническая"
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79980335?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ГидроЭл,Раменское
Слесарь обработки листового металла,https://aktau.hh.kz/vacancy/80155936?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Уралэнерго,Челябинск
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80120021?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Восход-Метиз,"Москва, Черкизовская"
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79321707?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,МС сервис,Казань
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80054843?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО КЕ Техника,Тверь
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79911731?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Технодор,Домодедово
Слесарь-сварщик,https://aktau.hh.kz/vacancy/79191562?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Агротехмаш,Рязань
Слесарь по обслуживанию буровых установок (6 разряд),https://aktau.hh.kz/vacancy/79157554?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО КСА ДОЙТАГ Раша,Тюмень
Слесарь-испытатель,https://aktau.hh.kz/vacancy/80086800?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Филиал АО ОДК-Сервис Челябинск,Челябинск
Слесарь МСР,https://aktau.hh.kz/vacancy/80036431?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Техношанс,Минск
Слесарь монтажник (газоснабжение),https://aktau.hh.kz/vacancy/80090060?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РусГаз,"Екатеринбург, Геологическая"
Слесарь (Сборочно-монтажных работ),https://aktau.hh.kz/vacancy/79925654?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО АЛЛЕС,"Санкт-Петербург, Елизаровская"
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80136443?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,АО Щербинский лифтостроительный завод,Москва
Слесарь,https://aktau.hh.kz/vacancy/79662476?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Jobers,Санкт-Петербург
Слесарь по ремонту промышленного оборудования,https://aktau.hh.kz/vacancy/78670485?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО СтанкоПрессРесурс,Воронеж
Слесарь-сборщик МК,https://aktau.hh.kz/vacancy/79990307?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ПромСтройКомплект,Великий Новгород
Слесарь МСР,https://aktau.hh.kz/vacancy/80003850?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ИЗЛП,Ижевск
Слесарь МСР LUXOR,https://aktau.hh.kz/vacancy/80162671?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Входные двери Ferroni,Тольятти
Слесарь по ремонту подвижного состава,https://aktau.hh.kz/vacancy/79097278?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Северо-Западная Магистраль,Санкт-Петербург
Слесарь-ремонтник по ГПМ,https://aktau.hh.kz/vacancy/80088548?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО СУМР№3,Пенза
Слесарь,https://aktau.hh.kz/vacancy/79330585?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Алексеев-Акватек,"Москва, Авиамоторная и еще 2 "
Слесарь (сборка металлоконструкций),https://aktau.hh.kz/vacancy/78460096?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,НПК Морсвязьавтоматика,"Санкт-Петербург, Ломоносовская"
Слесарь-сантехник,https://aktau.hh.kz/vacancy/80176252?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Ремпролайн,Астрахань
Слесарь,https://aktau.hh.kz/vacancy/80162981?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,"ЭСТО, НПП",Зеленоград
Слесарь по обслуживанию горной техники,https://aktau.hh.kz/vacancy/80024926?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Компания Современных Решений,Каргасок
Слесарь МСР,https://aktau.hh.kz/vacancy/80057150?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ПромСтройКомплект,Тверь
Слесарь-монтажник,https://aktau.hh.kz/vacancy/79901103?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ЗАО СМП-95,Томск
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79404160?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Вектор,Санкт-Петербург
Ученик слесаря,https://aktau.hh.kz/vacancy/79981911?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО АвтоСтронг-М,Минск
Слесарь РТУ,https://aktau.hh.kz/vacancy/80129525?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО НЕФТЕГАЗПРОМСТРОЙ,Кемерово
Слесарь МСР,https://aktau.hh.kz/vacancy/79881639?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Центр СодБи,Нижний Новгород
Слесарь ТО ВДГО,https://aktau.hh.kz/vacancy/79713092?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Мособлгазсервис,Пушкино (Московская область)
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79815990?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ИПК ЛИК,Москва
Слесарь на производство,https://aktau.hh.kz/vacancy/80043699?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ТакелажСервис,Новый Уренгой
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79803719?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Амт,"Речицы (Московская область, Раменский район)"
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79804733?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РИВ,Воронеж
Слесарь,https://aktau.hh.kz/vacancy/78834491?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Мкт,Пенза
Слесарь-ремонтник производственного оборудования и станков,https://aktau.hh.kz/vacancy/79996850?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Дефенс-Рус,Екатеринбург
Слесарь,https://aktau.hh.kz/vacancy/80155996?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Лемсметалл,Брянск
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79642171?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ПК Технокрит,Верхняя Пышма
Слесарь по ремонту подвижного состава (слесарь - электрик),https://aktau.hh.kz/vacancy/79802394?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Филиал Дальневосточный ООО ЛокоТех-Сервис,Тында
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79723617?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО СК-Технологии,Пермь
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80134652?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,АО Концерн ЦНИИ Электроприбор,Гатчина
Слесарь-сантехник,https://aktau.hh.kz/vacancy/80076751?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Стандарт,Омск
Слесарь МСР,https://aktau.hh.kz/vacancy/80065971?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Оптовая Метизная Компания,"Санкт-Петербург, Ладожская и еще 1 "
Слесарь МСР,https://aktau.hh.kz/vacancy/79905171?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Центр СодБи,Казань
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79887197?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,АО ЧЗМ,Чебоксары
Слесарь,https://aktau.hh.kz/vacancy/79259010?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО «СпецПромСтрой»,Рязань
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80104450?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ОХТА,Санкт-Петербург
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79572616?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ИП Гидравлик центр,Алматы
Слесарь-сборщик светильников,https://aktau.hh.kz/vacancy/80122894?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Брайтэлек,Москва
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79597068?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ОАО Оптические медицинские приборы ОПТИМЕД,Санкт-Петербург
Слесарь,https://aktau.hh.kz/vacancy/80025396?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Группа компаний Система,Екатеринбург
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80144589?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,AKRON HOLDING,Радужный (Ханты-Мансийский АО - Югра)
Слесарь по зачистке металла,https://aktau.hh.kz/vacancy/80170514?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО АгроСтройСервис,Ижевск
Слесарь МСР,https://aktau.hh.kz/vacancy/78866093?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,"ОАО Корвет, Акционерная компания",Курган
Слесарь МСР,https://aktau.hh.kz/vacancy/80023702?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Экосистема,Солнечногорск
"Слесарь-ремонтник, г. Лобня",https://aktau.hh.kz/vacancy/78912555?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Политех-Плюс,Москва
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80180427?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Белгранкорм (Ясные зори),Белгород
Слесарь-сборщик электрооборудования,https://aktau.hh.kz/vacancy/80016261?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Иркутский Завод Электротехники,Иркутск
Слесарь МК,https://aktau.hh.kz/vacancy/80070335?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Холва,Екатеринбург
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/78097404?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,КДВ Групп,Орехово-Зуево
Слесарь по ремонту вагонных подшипников,https://aktau.hh.kz/vacancy/79787357?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ФВП,Новокузнецк
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80151878?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Кухмастер,Волжский (Волгоградская область)
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80153820?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ФКП Казанский государственный казенный пороховой завод,Казань
Слесарь МСР,https://aktau.hh.kz/vacancy/80087413?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Центр СодБи,Курган
Слесарь-сборщик,https://aktau.hh.kz/vacancy/78961120?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ПКФ Снарк,Санкт-Петербург
